,gender,age,district,job,highest education,Marital Status,monthly Income,distance to bank,account type,banking monile apps amount,mobile banking service usage,Type of transaction,transfer amount,account balance check frequency,pay extra to account balance check,inter bank money transfer usage ,ok to pay extra to inter bank money transfer,way of knowing,way of learning,hardness,user interface,is cheap,cheapness,ratings,ස්ත්‍රී පුරුෂ භාවය,වයස,දිස්ත්‍රික්කය,රැකියාව,ඔබේ ඉහළම අධ්‍යාපනය කුමක්ද?,ඔබේ විවාහක තත්වය කුමක්ද?,ඔබේ මාසික ආදායම කුමක්ද?,ඔබේ නිවසේ සිට බැංකුව කොතරම් දුරද?,ජංගම දුරකථනය භාවිතයෙන් ඔබ ප්‍රවේශ වන බැංකු ගිණුමේ වර්ගය,ඔබ ජන්ගම බැන්කු යෙදුම් කීයක් භාවිතා කරනවද?,ඔබ ජංගම බැංකු සේවාව කොපමණ වාරයක් භාවිතා කරනවාද?,ඔබ ජංගම බැංකුකරණය භාවිතා කරන්නේ කුමන ආකාරයේ ගනුදෙනුවක් සඳහාද?,"ඔබ මුදල් හුවමාරුව සඳහා භාවිතා කරන්නේ නම්, සාමාන්‍යයෙන් ඔබ කොපමණ මුදලක් මාරු කරන්නේද?",ජංගම බැංකු යෙදුම භාවිතයෙන් ඔබ කොපමණ වාරයක් ඔබගේ ගිණුමේ ශේෂය පරීක්ෂා කරන්නේද?,ජංගම බැංකු අයදුම්පත භාවිතා කර බිල් ගෙවීමේදී අමතර මුදලක් ගෙවීම සුදුසු ද?,අන්තර් බැංකු මුදල් හුවමාරුව සඳහා ඔබ ජංගම බැංකු යෙදුම භාවිතා කරනවාද?,අන්තර් බැංකු මුදල් හුවමාරුවකදී අමතර මුදලක් ගෙවීම සුදුසු ද?,ජංගම බැංකු යෙදුම ගැන ඔබ අසා ඇත්තේ කෙසේද?,ජංගම බැංකු යෙදුම භාවිතා කිරීමට ඔබ ඉගෙන ගත්තේ කෙසේද?,ජංගම බැංකු යෙදුම භාවිතා කිරීම කෙතරම් දුෂ්කර ද?,ජංගම බැංකු යෙදුමේ පරිශීලක අතුරුමුහුණත ගැන ඔබට හැඟෙන්නේ කෙසේද?,ජංගම බැංකුකරණය ලාභදායී හෝ මිල අධික යැයි ඔබ සිතනවාද?,සාම්ප්‍රදායික බැංකු සේවාවන්ට වඩා ජංගම බැංකු සේවා ලාභදායී යැයි ඔබ සිතනවාද?,ජන්ගම බැන්කු සේවාව 1 සිට 5 දක්වා ශ්‍රේණිගත කරන්න
,Male,29,Kegalle,Doctor,Degree,Married,"In between 50,000 to 100,000",In between 5KM and 10KM,Savings Account,In between 2 and 5,Daily –Several times,"Money transfer, Credit card settlement, As a payment methods while shopping, Bill Payment, Account balance check","In between 20,000 and 50,000",Weekly,No,Yes,No,Friend,Other,Easy,Good,Cheap,Yes,4,පුරුෂ,,,,,,,,,,,,,,,,,,,,,,,
,Male,26,Anuradhapura,Software Engineer,Degree,Single,"In between 100,000 to 250,000",Less than 5KM,Savings Account,less than 2,Weekly - Several times,"Money transfer, Credit card settlement, As a payment methods while shopping, Bill Payment, Account balance check",In between 5000 and 20000,Weekly,No,Yes,Yes,Social media,From a bank personnel,Very easy,Good,Cheap,Yes,4,,,,,,,,,,,,,,,,,,,,,,,,
,Male,26,Kurunegala,Temporary Lecturer,Degree,Single,"In between 50,000 to 100,000",Less than 5KM,Savings Account,In between 2 and 5,Weekly - Several times,"Money transfer, Credit card settlement, As a payment methods while shopping, Bill Payment, Account balance check",Less than 5000,Weekly,No,Yes,No,Social media,Other,Easy,Normal,Normal,Yes,4,,,,,,,,,,,,,,,,,,,,,,,,
,Male,27,Kandy ,Research Assistant ,Degree,Single,"In between 20,000 to 50,000",Less than 5KM,Savings Account,less than 2,Monthly - Once,"Money transfer, Bill Payment","In between 20,000 and 50,000",Monthly,No,Yes,Yes,Other,From a bank personnel,Very easy,Normal,Cheap,No,4,,,,,,,,,,,,,,,,,,,,,,,,
,Female,26,Matara,Software engineer ,Degree,Single,"In between 100,000 to 250,000",more than 10KM,Savings Account,less than 2,Weekly - Several times,"Money transfer, As a payment methods while shopping, Bill Payment",In between 5000 and 20000,Monthly,Yes,Yes,No,Friend,From a friend,Neutral,Normal,Normal,No,3,,,,,,,,,,,,,,,,,,,,,,,,
,Male,27,Kurunegala,Software engineer,Degree,Single,"In between 100,000 to 250,000",Less than 5KM,Savings Account,less than 2,Monthly - Several times,"Money transfer, Credit card settlement, Account balance check","In between 20,000 and 50,000",Monthly,No,Yes,No,Other,Other,Hard,Bad,Cheap,Yes,3,,,,,,,,,,,,,,,,,,,,පහසු,,,,
,Female,29,Gampaha,Doctor,Degree,Married,"In between 100,000 to 250,000",Less than 5KM,Savings Account,less than 2,Monthly - Several times,"Money transfer, As a payment methods while shopping, Bill Payment, Account balance check",In between 5000 and 20000,Weekly,No,Yes,No,Friend,From a family member,Very easy,Good,Cheap,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,
,Male,28,Matara,Engineer,Degree,Single,"In between 100,000 to 250,000",Less than 5KM,Both,In between 2 and 5,Weekly - Several times,"Money transfer, As a payment methods while shopping, Bill Payment, Account balance check",In between 5000 and 20000,Weekly,Yes,Yes,Yes,Other,Other,Easy,Good,Normal,Yes,4,පුරුෂ,28,Matara,,උපාධි,තනිකඩ,"100,000 සිට 250,000 දක්වා",5KM ට අඩු,දෙකම,2 ත් 5 ත් අතර,සතිපතා - වාර කීපයක්,"මුදල් හුවමාරු කිරීම, සාප්පු යාමේදී ගෙවීම් ක්‍රමයක් ලෙස, බිල්පත් ගෙවීමේ, ගිණුම් ශේෂය පරීක්ෂා කිරීම",5000 ත් 20000 ත් අතර,සතිපතා,ඔව්,ඔව්,ඔව්,මිතුරෙකුගෙන්,වෙනත්,පහසු,හොඳයි,සාමාන්‍යයි,ඔව්,4
,Male,26,Matara,Software Engineer,Degree,Single,"In between 100,000 to 250,000",In between 5KM and 10KM,Savings Account,In between 2 and 5,Weekly - Several times,"Money transfer, Bill Payment, Account balance check",In between 5000 and 20000,Weekly,No,Yes,No,TV advertiesment,From Media,Easy,Normal,Cheap,No,3,,,,,,,,,,,,,,,,,,,,,,,,
,Male,26,Rathnapura ,SE,Degree,Single,"In between 100,000 to 250,000",Less than 5KM,Savings Account,More than 5,Monthly - Several times,"Money transfer, Bill Payment, Account balance check","In between 20,000 and 50,000",Monthly,No,Yes,No,Friend,From a friend,Neutral,Bad,Normal,No,4,පුරුෂ,,,,,,,,,,,,,,,,,,,,,,,
